"company_name","sectors","website","description","company_id"
"Satistar Management Consulting","Consulting","www.satistar.com "," Registered ISO 9001:2008 Sustained business process improvement consulting and training in Quality, Business Process Re-Engineering, ISO 9000, 14000, Auditing, Continuous Improvement, Six Sigma, Lean, Electronic Document Management",104
"Savanta Inc.","Analytical Services","www.savanta.ca ","An environmental consulting firm with focus on Ecological Baseline, EIA and Resource Management • Mitigation and Net Gain Assessments • Sustainability Strategies and Assessments • Ecological Restoration • Environmental Leadership and Communications ",105
"Schaefer System International Ltd.","Waste Management","www.ssi-schaefer.ca "," Roll-Out waste and recycling containers for industrial, commercial and residential use.Containers are injection molded for maximum strength and durability. Available in a variety of sizes and colors. Models available to accommodate all types of dumping systems. ",106
"Schlumberger Water Services","Environmental Management Systems","www.swstechnology.com "," Schlumberger Water Services offers dynamic Groundwater monitoring and modeling software fully supported by a wide range of groundwater training courses and renowned groundwater consulting services.",107
"School of the Environment, University of Toronto","Education","http://www.environment.utoronto.ca/ "," The School of the Environment has a thriving multi-disciplinary research and teaching program, both internationally and in Canada. Faculty members are drawn from engineering, physical sciences, health sciences, forestry, social sciences and the humanities. ",108
"Scicorp International Corp.","Water","www.scicorp.net"," Manufacturers and distribution of micronutrients for uses in waste and waste water treatment. Odour control products. Non toxic certified by ecologo, environment Canada.",109
"Sealtrac Inc.","Equipment",""," Seals, Pumps and Valves -- New and Reconditioned  OETC approved Mechanical Seal Course Consulting Services",110
"Seeker Gren Products Ltd.","Water","www.seekergreen.ca"," Biodegradable disposable tableware and food tray. It is made by agricultural byproducts, with Environment Canada's Environmental Choice Program's Certificate. Microwave, oven and freezer friendly. Water, Oil and Grease resistance.",111
"Seiwa Biodegrader Ltd.","Water","biodegrader.com "," Manufacturer, installer, and maintainer of biotoilets and non-potable water treatment units. Patent development.",112
"Senes Consultants Limited","Air Pollution Prevention","www.senes.ca "," Specializing in the fields of energy, nuclear, and environmental sciences, SENES provides services on range of environmental issues - e.g. preparation of environmental/risk assessments; assessment of water and waste treatment technologies; waste management strategies; remedial action projects; and public participation programs. ",113
"Senstar-Stellar Corporation","Equipment","www.senstarstellar.com "," Outdoor Perimeter Security Company",114
"Septrotech Systems Inc.","Equipment","www.seprotech.com"," Manufacturers of water and wastewater treatment sytems",115
"Septech","Environmental Design",""," Providing innovative wastewater engineering design for treatment and disposal.",116
"Service One Restoration Specialisits ","Remediation","www.service-one.ca "," IICRC Certified Firm . Water, Mould, Asbestos Remediation. IAQA member. Dry Ice Blasting.",117
"SGS Canada Inc., Environmental Services ","Analytical Services","www.sgs.ca"," SGS is the world’s leading inspection, verification, testing and certification company. We offer a competitive and comprehensive range of inorganic, organic and specialty analytical testing procedures, as well as superior data management support across Canada and Internationally.",118
"SPL Consultants","Air Pollution Prevention","splconsultants.ca"," Consulting Engineers: Environmental, Geotechnical, Building Science, Concrete Technology, Pavement and Transportation Engineering, Inspection and Testing, Quality Control",119
"Shamrock Septic Service","Waste Management",""," Maintenance of septic systems.",120
"Sheridan Institute of Technology and Advanced Learning","Education","www.sheridancollege.ca"," Education Institution/Colllege offering Environmental Controls Post Diploma Co-op students and Field Placement Opportunities",121
"Simcoe Energy and Technical Services Inc. ","Waste Management",""," Propane sales and services.",122
"Simcoe Engineering Group Limited ","Air Pollution Prevention","","Provides a wide range of consulting engineering services for municipal, institutional and industrial projects - for example, water supply, treatment, and distribution; biosolids management;  biocontainment, hazardous waste management.",123
"Simpson Environmental Corporation","Equipment","www.senvc.com "," Manufacture, supply, install and service wastewater and water treatment systems including disinfection and oxidation systems, dewatering, membrane and other treatment systems. ",124
"Durham Disposal Services Ltd.","Waste Management",""," M.O.E. licensed waste transfer and recycling facility handling solid non-hazardous waste.",125
"Six Sigma Management Inc.","Consulting","www.sixsigmamgmt.com "," Professional services firm providing evaluation, assessment, audit and systems implementation services across Canada.",126
"SNC Lavalin ","Energy Efficiency",""," We offer the full spectrum of specialist services in environmental management and hold expertise in toxicology, risk assessment and site restoration, waste management and environmental impact assessment.",127
"Soil and Materials Engineering Inc.","Consulting","www.ctsoil.com "," Geotechnical and Geo-Environmental consulting company.",128
"Solares Architecture Inc.","Energy Efficiency","www.solares.ca"," Solares designs custom Environmentally Integrated Homes, which provide a lifestyle of plenty with a reduced ecological footprint. We offer the design and project management services required to build a unique home that will exceed industry standards and your expectations.",129
"Solution Soil Treatment Facility ","Remediation","www.solutionstf.com ","Provides off-site disposal solutions for contaminated soil. Our soil treatment facility and unique partnership with Xstrata Nickel represents a turnkey, cost-effective and permanent solution for the treatment of hydrocarbon impacted contaminated soil. ",130
"Sonic Soil Sampling Inc.","Contracting","www.sonicsoil.com "," Provide cost-effective, environmental and geotechnical drilling service achieved by utilizing innovative and portable equipment, as well as a professional staff, to perform a variety of tasks including sample collection and the installation of monitoring wells.",131
"Sourcetec Industries","Air Pollution Prevention","www.sourcetecindustries.com "," Manufactures of exhaust and fume removal equipment",132
"Southeastern Construction Management ","Contracting","www.southeasternconstructionmanagement.com","",133
"Southwell Controls Ltd.","Air Pollution Prevention","www.southwellcontrols.com "," Manufacturer of Automatic Liquid Samplers and Distributor of Control Products and FRP decking, grating, handrails, etc. for Water and Wastewater Treatment Plants, and Continuous Emission Monitoring Systems",134
"SPD Sales Limited","Air Pollution Prevention","spdsales.com "," Instrumentation and chemical feed products for the environmental and process control markets. ",135
"Spectral Applied Research","Air Pollution Prevention","www.spectral.ca "," Develops and calibrates optical instruments for environmental and remote sensing. We provide a mobile scanning lidar service that provides 3-D mapping of suspended particulate matter and aerosols within 10 km, proving both spatial and temporal resolution.  ",136
"Spectrum Environmental","Air Pollution Prevention","www.spectrumenvironmental.ca "," Phase I, II and III Enviromental Site Assessments, Certificate of Approval for Air and Water: NPRI reporting",137
"Sphere Business Solutions Inc. ","Air Pollution Prevention","www.solargrid.ca ","Provide complete turnkey customized Solar Photovoltaic Grid Connected power generation systems. No batteries required!  ",138
"Spilkleen, Division of Agramax Inc. ","Consulting","","",139
"Spill Green Inc.","Remediation","www.spillgreen.com "," Exclusive Canadian Distributor of Spill Green products. Spill Green products stop the waste cycle at the moment of clean-up by immediately neutralizing the hazardous characterists of the spill material. EPA and Environment Canada listed, BP's approved product list.",140
"Spill Management Inc.","Education","www.spillmanagement.ca "," Provides response training for chemical spills as well as workshops in Emergency Response Planning and Incident Command. Other services include Plans for Emergency Response, and Environmental Preparedness, as well as Emergency Response Equipment, and Supplies Assessments using video.",141
"Stablex Canada Inc.","Remediation","www.stablex.com "," Offers inorganic waste treatment and disposal services;  characterizes, treats and stabilizes inorganic industrial residues and contaminated soil before disposing of the benign product in a dedicated secure placement cell. ",142
"Stantec Consulting Ltd.","Air Pollution Prevention","www.stantec.com "," Provides strategic advice on a range of services: Ecotoxicity Testing; Health, Safety and Emergency Management; Environmental Site Management; Environmental Due Diligence; Environmental and Social Impact Assessment; Regulatory Permitting; Risk Assessment; and, Water Resources Management.",143
"Stantec Global Technologies Ltd. ","Air Pollution Prevention","www.stantec.com/efsop "," Provides steelmakers with real-time off-gas-based process control system for EAFs. System is low maintenance and reduces overall EAF conversion costs, including lower kWh and other sources of energy.",144
"Stericycle Inc.","Waste Management","www.stericycle.ca"," Biomedical Waste Management",145
"Sterling Combustion Inc.","Energy Efficiency","www.sterlingcombustion.com "," Packaged boilers, burners and combustion control systems",146
"Steven Rowe Environmental Planner ","Consulting","srplan.ca "," Environmental planning consultancy with experience in environmental assessment and land use planning. ",147
"Stirling Engineering Inc. ","Air Pollution Prevention","stirlingengineering.ca "," Professional engineering services for environmental compliance, specializing in permitting and approvals, remediation and design of abatement systems.",148
"Stoddard Silencers of Canada ","Equipment","www.stoddardsilencers.com "," We provide 'engineered noise reduction solutions' to industry (e.g. power generation, oil and gas, pulp and paper, cement fabrication, petrochemical industries, fertilizer manufacturers, etc.",149
"Imbrium Systems","Water","www.stormceptor.com "," The Stormceptor System is a state-of-the-art oil and sediment separator designed to remove free oil and suspended solids from stormwater runoff. ",150
"Strata Soil Sampling Inc.","Contracting","www.stratasoil.com "," Environmental and Geotechnical drilling company utilizing Geoprobe Direct Push and many other state of the art soil and ground water sampling technoligies. With offices throughout Ontario.",151
"Strategic Alternatives","Consulting","www.pathcom.com/~stratalt "," Strategic Alternatives is a boutique management consulting firm that specializes in helping organizations do what they do better when delivering environmental programs and services.",152
"Strategies for the Environment Inc.","Consulting","www.strategies4enviro.com "," Provide professional services to companies registering to standards for Quality Management Systems, Environmental Management Systems, and Occupational Health and Safety Management Systems. ",153
"Sun-mar Corp.","Water","www.sun-mar.com "," Sun-Mar is the world leader in composting toilets and composting technology. For over thirty years, we have been providing the sanitation solution to cottages, rural residential areas, and many other applications. ",154
"Sustainable Edge Inc.","Air Pollution Prevention","www.s-edge.com "," Specializes in energy-efficient and environmental appropriate design and engineer of residential, institutional and commercial buildings. Related activities include research, development, technical transfer and policy definition for the low energy building industry. ",155
"Sustainable Resources Management Inc.","Air Pollution Prevention","www.sustainable.on.ca "," Professional Consulting Services in the areas of energy efficiency, renewable energy and environmental economics. Former utility and government energy experts that help companies deal with the emerging Climate Change opportunities.",156
"Sustainable Urban Development Association ","Education","www.suda.ca "," A registered Charitable Corporation, we provide research, policy input and sustainable development solutions for 905 municipalities in Ontario, and through growth management strategies, help them to manage their greenfield lands in a sustainable way.",157
"Sustainability Network","Consulting","sustainabilitynetwork.ca"," NGO management and strategy advice provider",158
"Systems Approach Strategies ","Education","www.systemsapproach.com ","Provides strategic and tactical ways to improve performance in safety, health, environment, operations and production, management and project management systems, and employee effectiveness, through tailored approaches for a client’s specific needs. ",159
